"id","subset","text","gold_intent","pred_intent","gold_urgency","pred_urgency","gold_next_action","pred_next_action","note"
"intent_ocr_text_003","hard","路边牌子写了什么,念给我听","ocr_text","fallback","normal","elevated","answer","ask_followup","真实用户表达为念出牌子内容,语义上是读文字。"
"intent_ocr_text_004","hard","包装背面的那几行小字太密了,帮我确认一下","ocr_text","fallback","normal","elevated","answer","ask_followup","隐含文字识别,没有直接照抄规则中的关键词。"
"intent_ocr_text_005","hard","请把收据上的项目和金额念出来","ocr_text","fallback","normal","elevated","answer","ask_followup","收据内容读取属于 OCR,即使没有出现 OCR 字样。"
"intent_ocr_text_006","hard","我拍了个快递单,上面单号是多少","ocr_text","fallback","normal","elevated","answer","ask_followup","快递单号读取是文字识别任务。"
"intent_ocr_text_008","hard","这个票据上的抬头和日期是什么","ocr_text","fallback","normal","elevated","answer","ask_followup","票据字段读取是 OCR 类任务。"
"intent_scene_description_003","hard","这张照片大概是在什么地方","scene_description","fallback","normal","elevated","answer","ask_followup","隐含对画面整体语义的描述。"
"intent_scene_description_004","hard","帮我概括一下镜头里都有啥","scene_description","fallback","normal","elevated","answer","ask_followup","口语化画面概括请求,应归为场景描述。"
"intent_scene_description_005","hard","我想知道图片里是室内还是街上","scene_description","fallback","normal","elevated","answer","ask_followup","判断图片环境类别,属于场景描述。"
"intent_scene_description_008","hard","这是不是在公园附近,周围有些什么","scene_description","environment_description","normal","normal","answer","match_volunteer","图片/周边整体理解,人工标为场景描述。"
"intent_object_identify_001","easy","这个物体是什么","object_identify","scene_description","normal","normal","answer","answer","带图片路径且询问物体,应走物体识别入口。"
"intent_object_identify_002","easy","帮我看看这个东西是啥","object_identify","scene_description","normal","normal","answer","answer","图片中的东西识别,对应 object_identify。"
"intent_object_identify_003","hard","桌上这个圆圆的能不能告诉我是什么","object_identify","scene_description","normal","normal","answer","answer","隐含物体识别,没有直接使用物体关键词。"
"intent_object_identify_004","hard","我摸到一个盒子,拍给你看,它可能是什么","object_identify","scene_description","normal","normal","answer","answer","拍图确认物件身份,属于物体识别。"
"intent_object_identify_005","easy","这个商品包装是哪一类东西","object_identify","scene_description","normal","normal","answer","answer","商品/包装识别在图片路径下应归为物体识别。"
"intent_object_identify_006","hard","请判断照片里的用品是不是杯子","object_identify","scene_description","normal","normal","answer","answer","判断具体用品类别,属于 object_identify。"
"intent_object_identify_007","easy","产品外观看起来像什么","object_identify","scene_description","normal","normal","answer","answer","产品识别是物体识别分支关键词覆盖范围。"
"intent_object_identify_008","hard","这件小工具我分不出来,帮忙辨认","object_identify","scene_description","normal","normal","answer","answer","辨认小工具身份,语义属于物体识别。"
"intent_color_recognition_003","hard","我想确认这条线偏深还是偏浅","color_recognition","fallback","normal","elevated","answer","ask_followup","隐含色彩/明暗判断。"
"intent_color_recognition_004","hard","这个标签看起来是哪种色调","color_recognition","fallback","normal","elevated","answer","ask_followup","询问色调属于颜色识别。"
"intent_color_recognition_005","hard","帮我分辨两瓶药外包装的色差","color_recognition","fallback","normal","elevated","answer","ask_followup","色差辨别是颜色识别。"
"intent_color_recognition_006","hard","这张卡片主色是什么","color_recognition","fallback","normal","elevated","answer","ask_followup","主色判断属于颜色识别。"
"intent_color_recognition_008","hard","这个按钮是绿色的吗","color_recognition","fallback","normal","elevated","answer","ask_followup","颜色确认问句,人工标为 color_recognition。"
"intent_money_recognition_004","hard","收银员找给我的这张钱数帮我确认","money_recognition","fallback","normal","elevated","answer","ask_followup","真实付款场景中的金额确认。"
"intent_money_recognition_005","hard","钱包里这张票子多大金额","money_recognition","fallback","normal","elevated","answer","ask_followup","票子金额是面额识别。"
"intent_money_recognition_007","hard","我怕把十元和一百元拿错,帮我确认","money_recognition","fallback","normal","elevated","answer","ask_followup","隐含现金面额确认。"
"intent_money_recognition_008","hard","付款前帮我分辨这张现金","money_recognition","fallback","normal","elevated","answer","ask_followup","现金分辨任务属于 money_recognition。"
"intent_translation_002","easy","快递员打电话我接不明白,帮我表达取件需求","translation","fallback","normal","elevated","answer","ask_followup","快递电话沟通协助。"
"intent_translation_003","hard","我想把这句话变成对方能快速看懂的短句","translation","fallback","normal","elevated","answer","ask_followup","隐含沟通转写/转译需求。"
"intent_translation_004","hard","对方说得太快,帮我整理成文字回复","translation","ocr_text","normal","normal","answer","answer","听障场景中的转文字沟通。"
"intent_translation_006","hard","电话那头让我报地址,我不知道怎么回更清楚","translation","fallback","normal","elevated","answer","ask_followup","电话沟通表达辅助。"
"intent_translation_008","hard","帮我把意思换成礼貌一点的话给别人看","translation","fallback","normal","elevated","answer","ask_followup","语义转写/表达重组,人工标为 translation。"
"intent_environment_description_003","hard","我准备往前走,脚下有没有需要避开的东西","environment_description","fallback","normal","elevated","match_volunteer","ask_followup","隐含移动安全检查。"
"intent_environment_description_004","hard","现在这条通道适不适合继续走","environment_description","fallback","normal","elevated","match_volunteer","ask_followup","通行安全判断,应为环境描述并建议人工确认。"
"intent_environment_description_005","hard","附近有没有突然靠近的人或车","environment_description","fallback","normal","elevated","match_volunteer","ask_followup","周边动态风险提示。"
"intent_environment_description_007","hard","我想知道身边空间挤不挤","environment_description","fallback","normal","elevated","match_volunteer","ask_followup","环境拥挤程度判断。"
"intent_navigation_003","hard","我到了医院大厅,接下来应该往哪边","navigation","fallback","normal","elevated","match_volunteer","ask_followup","医院动线引导,属于 navigation。"
"intent_navigation_004","hard","我想去洗手间,但不知道该左转还是右转","navigation","fallback","normal","elevated","match_volunteer","ask_followup","目的地导向属于找路。"
"intent_navigation_005","easy","门诊取药窗口在哪边","navigation","fallback","normal","elevated","match_volunteer","ask_followup","门诊/取药窗口位置属于导航。"
"intent_navigation_006","hard","我下车后不知道入口方向","navigation","fallback","normal","elevated","match_volunteer","ask_followup","入口方向引导,人工标为 navigation。"
"intent_navigation_008","hard","我想从这里到服务台,怎么过去更安全","navigation","environment_description","normal","normal","match_volunteer","match_volunteer","路线规划与安全通行,标为 navigation。"
"intent_medication_check_003","hard","这盒药我不知道饭前还是饭后吃","medication_check","fallback","normal","elevated","match_volunteer","ask_followup","隐含用药确认,应药品检查并人工确认。"
