"id","text","rule_pred_intent","rule_pred_next_action","llm_pred_intent","llm_pred_next_action","llm_caught","reason"
"emergency_pos_008","附近有人一直跟着我,我不敢动","fallback","ask_followup","emergency","trigger_sos","true","LLM 将该隐式/组合风险判为紧急。"
"emergency_pos_009","我一个人在地下车库,找不到回去的路","navigation","match_volunteer","emergency","trigger_sos","true","LLM 将该隐式/组合风险判为紧急。"
"emergency_pos_010","我喘不上气,手也发麻","fallback","ask_followup","emergency","trigger_sos","true","LLM 将该隐式/组合风险判为紧急。"
"emergency_pos_011","我被困在电梯里,联系不上家人","navigation","match_volunteer","emergency","trigger_sos","true","LLM 将该隐式/组合风险判为紧急。"
"emergency_pos_012","楼道里全是烟,我看不清","ocr_text","answer","emergency","trigger_sos","true","LLM 将该隐式/组合风险判为紧急。"
"emergency_pos_013","有人敲门不走,我一个人在家很害怕","fallback","ask_followup","emergency","trigger_sos","true","LLM 将该隐式/组合风险判为紧急。"
"emergency_pos_014","我突然看不见路,旁边都是车","fallback","ask_followup","emergency","trigger_sos","true","LLM 将该隐式/组合风险判为紧急。"
"emergency_pos_015","老人倒在地上没有回应","fallback","ask_followup","emergency","trigger_sos","true","LLM 将该隐式/组合风险判为紧急。"
"emergency_pos_016","我被人拉住不让我走","fallback","ask_followup","emergency","trigger_sos","true","LLM 将该隐式/组合风险判为紧急。"
"emergency_pos_017","我在陌生地方走散了,手机只剩百分之一","fallback","ask_followup","emergency","trigger_sos","true","LLM 将该隐式/组合风险判为紧急。"
