"指标","目标","实测","备注"
"意图识别总准确率","越高越好；按真实 DemoAiIntent 12 类","47.50%","n=120, DemoMode 规则基线"
"意图识别 easy 子集准确率","越高越好","84.48%","直接/显式表达样本"
"意图识别 hard 子集准确率","越高越好","12.90%","改写/隐含表达样本；用于防止关键词自测虚高"
"next_action 正确率","越高越好","56.88%","覆盖意图集+紧急集, 对比 trigger_sos/match_volunteer/answer/ask_followup"
"紧急召回率","目标高召回；不得漏 SOS","50.00%","10/20 真实紧急被命中"
"紧急误报率","越低越好","5.00%","1/20 非紧急被误判紧急"
"首屏可见响应","每项>=20次；报 median/p95","median=11.47ms; p95=254.00ms","包含 initializeCompetitionDemoApp + pumpWidget 到首页主文案可见；非线上冷启动。"
"AI 完整响应","每项>=20次；报 median/p95","median=608.79ms; p95=797.99ms","走 AgentServiceFacade -> DemoAIService；含生产模拟延迟，不是真实 LLM 时延。"
"50 人候选 Top5 匹配耗时","每项>=20次；报 median/p95","median=0.53ms; p95=18.56ms","直接调用 DemoMatchingEngineService.matchTopVolunteers, volunteerPool=50。"
"Demo Call 建立","每项>=20次；报 median/p95","median=3007.72ms; p95=3018.26ms","DemoCallService.startCall 固定包含 1s connecting + 2s ringing。"
"SOS 触发到撤销窗口","每项>=20次；报 median/p95","median=0.03ms; p95=0.80ms","测量 DemoSOSService.triggerSOS 调用后 isActive=true；撤销窗口 UI 文案在页面层展示。"
